,month,year,state,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
60,02,1950,Iowa,18.9,20.2,-93.5000649605,42.0746268788
61,02,1950,Kansas,33.1,31.1,-98.3802131736,38.4847081514
62,02,1950,Kentucky,41.4,35.1,-85.2904560935,37.5266674638
63,02,1950,Louisiana,59.2,50.8,-92.5856620163,31.0584069584
64,02,1950,Maine,14.8,14.0,-69.2266474552,45.3714334913
65,02,1950,Maryland,39.6,33.1,-76.7724546076,39.0369222963
66,02,1950,Massachusetts,27.9,24.6,-71.7986394244,42.2533023991
67,02,1950,Michigan,20.6,18.6,-85.4371669561,44.3506813109
68,02,1950,Minnesota,4.2,9.3,-94.3090126515,46.3163329315
69,02,1950,Mississippi,55.6,46.7,-89.6652136847,32.750866634
70,02,1950,Missouri,34.7,31.6,-92.4774101578,38.3676131565
71,02,1950,Montana,10.8,19.0,-109.645148622,47.0335364218
72,02,1950,Nebraska,22.3,24.4,-99.8108090713,41.5271489603
73,02,1950,Nevada,31.9,32.0,-116.65522549,39.3562373462
74,02,1950,New Hampshire,20.2,17.9,-71.5775941473,43.6856317461
75,02,1950,New Jersey,35.0,30.1,-74.6607541123,40.1844273633
76,02,1950,New Mexico,38.8,35.8,-106.108388616,34.4213707591
77,02,1950,New York,24.5,20.3,-75.5031182762,42.9403901101
78,02,1950,North Carolina,48.5,41.0,-79.3723797543,35.5415341226
79,02,1950,North Dakota,-2.0,9.2,-100.469321077,47.446338517
80,02,1950,Ohio,34.1,27.9,-82.7900611953,40.291452206
81,02,1950,Oklahoma,41.7,38.9,-97.5082927121,35.5834856477
82,02,1950,Oregon,27.6,32.2,-120.555413394,43.9366481606
83,02,1950,Pennsylvania,31.6,25.9,-77.7995595623,40.8738378455
84,02,1950,Rhode Island,31.0,27.4,-71.5536120535,41.6760813901
85,02,1950,South Carolina,53.2,45.7,-80.8961396866,33.9079742468
86,02,1950,South Dakota,10.4,17.5,-100.230507516,44.4361607025
87,02,1950,Tennessee,46.0,38.6,-86.3433803654,35.8429870949
88,02,1950,Texas,52.3,47.4,-99.3506971451,31.4844643819
89,02,1950,Utah,26.9,27.8,-111.678216374,39.3237947509
90,02,1950,Vermont,19.2,15.8,-72.6626493581,44.0751958252
91,02,1950,Virginia,42.7,35.7,-78.8122544727,37.5150238913
92,02,1950,Washington,21.4,30.7,-120.446866425,47.3809688818
93,02,1950,West Virginia,39.0,31.6,-80.6137119661,38.6425987436
94,02,1950,Wisconsin,13.4,14.5,-90.0116942643,44.6380301915
95,02,1950,Wyoming,20.0,20.3,-107.551454075,42.999642032
96,03,1950,Alabama,52.7,51.6,-86.8283719359,32.7898321918
97,03,1950,Arizona,49.1,47.1,-111.664418336,34.2931098705
98,03,1950,Arkansas,47.4,47.2,-92.4392676639,34.8997453322
99,03,1950,California,47.3,47.1,-119.610698951,37.2460706736
100,03,1950,Colorado,32.0,30.5,-105.547824721,38.9985518194
101,03,1950,Connecticut,28.0,30.9,-72.7257060428,41.6202863352
102,03,1950,Delaware,37.4,38.5,-75.4004040929,38.8870164548
103,03,1950,Florida,63.2,61.8,-81.7974638723,28.6284392647
104,03,1950,Georgia,52.6,52.0,-83.4463418309,32.6492290722
105,03,1950,Idaho,28.8,29.5,-114.659382348,44.0890895052
106,03,1950,Illinois,32.7,34.5,-89.1983967614,40.0650409125
107,03,1950,Indiana,32.9,34.5,-86.2756397346,39.9081412284
108,03,1950,Iowa,25.4,28.7,-93.5000649605,42.0746268788
109,03,1950,Kansas,38.6,38.0,-98.3802131736,38.4847081514
110,03,1950,Kentucky,40.5,40.9,-85.2904560935,37.5266674638
111,03,1950,Louisiana,57.0,55.7,-92.5856620163,31.0584069584
112,03,1950,Maine,16.7,20.4,-69.2266474552,45.3714334913
113,03,1950,Maryland,37.0,38.2,-76.7724546076,39.0369222963
114,03,1950,Massachusetts,26.6,29.6,-71.7986394244,42.2533023991
115,03,1950,Michigan,21.6,24.0,-85.4371669561,44.3506813109
116,03,1950,Minnesota,14.7,18.7,-94.3090126515,46.3163329315
117,03,1950,Mississippi,53.2,52.0,-89.6652136847,32.750866634
118,03,1950,Missouri,37.6,38.7,-92.4774101578,38.3676131565
119,03,1950,Montana,24.2,25.4,-109.645148622,47.0335364218
120,03,1950,Nebraska,29.7,31.3,-99.8108090713,41.5271489603
121,03,1950,Nevada,37.8,36.8,-116.65522549,39.3562373462
122,03,1950,New Hampshire,19.7,23.7,-71.5775941473,43.6856317461
123,03,1950,New Jersey,32.8,34.9,-74.6607541123,40.1844273633
124,03,1950,New Mexico,42.6,40.6,-106.108388616,34.4213707591
125,03,1950,New York,22.2,25.7,-75.5031182762,42.9403901101
126,03,1950,North Carolina,46.2,45.6,-79.3723797543,35.5415341226
127,03,1950,North Dakota,13.1,18.3,-100.469321077,47.446338517
128,03,1950,Ohio,32.6,33.7,-82.7900611953,40.291452206
129,03,1950,Oklahoma,46.3,45.3,-97.5082927121,35.5834856477
130,03,1950,Oregon,34.4,36.2,-120.555413394,43.9366481606
131,03,1950,Pennsylvania,29.1,31.2,-77.7995595623,40.8738378455
132,03,1950,Rhode Island,29.4,32.0,-71.5536120535,41.6760813901
133,03,1950,South Carolina,50.8,50.3,-80.8961396866,33.9079742468
134,03,1950,South Dakota,20.9,25.3,-100.230507516,44.4361607025
135,03,1950,Tennessee,44.6,44.3,-86.3433803654,35.8429870949
136,03,1950,Texas,54.4,52.8,-99.3506971451,31.4844643819
137,03,1950,Utah,34.0,33.8,-111.678216374,39.3237947509
138,03,1950,Vermont,17.8,21.9,-72.6626493581,44.0751958252
139,03,1950,Virginia,40.2,40.7,-78.8122544727,37.5150238913
140,03,1950,Washington,33.0,35.8,-120.446866425,47.3809688818
141,03,1950,West Virginia,36.2,36.9,-80.6137119661,38.6425987436
142,03,1950,Wisconsin,18.8,22.4,-90.0116942643,44.6380301915
143,03,1950,Wyoming,26.6,25.7,-107.551454075,42.999642032
144,04,1950,Alabama,55.7,59.0,-86.8283719359,32.7898321918
145,04,1950,Arizona,55.4,53.1,-111.664418336,34.2931098705
146,04,1950,Arkansas,53.2,55.8,-92.4392676639,34.8997453322
147,04,1950,California,52.4,51.4,-119.610698951,37.2460706736
148,04,1950,Colorado,38.1,38.1,-105.547824721,38.9985518194
149,04,1950,Connecticut,37.2,40.7,-72.7257060428,41.6202863352
150,04,1950,Delaware,44.3,47.4,-75.4004040929,38.8870164548
151,04,1950,Florida,64.4,66.7,-81.7974638723,28.6284392647
152,04,1950,Georgia,55.8,59.1,-83.4463418309,32.6492290722
153,04,1950,Idaho,35.0,36.7,-114.659382348,44.0890895052
154,04,1950,Illinois,40.9,45.7,-89.1983967614,40.0650409125
155,04,1950,Indiana,40.4,45.0,-86.2756397346,39.9081412284
156,04,1950,Iowa,35.6,41.4,-93.5000649605,42.0746268788
157,04,1950,Kansas,45.4,47.9,-98.3802131736,38.4847081514
158,04,1950,Kentucky,46.6,50.2,-85.2904560935,37.5266674638
159,04,1950,Louisiana,60.0,62.6,-92.5856620163,31.0584069584
160,04,1950,Maine,29.4,32.1,-69.2266474552,45.3714334913
161,04,1950,Maryland,43.8,47.3,-76.7724546076,39.0369222963
162,04,1950,Massachusetts,36.2,39.5,-71.7986394244,42.2533023991
163,04,1950,Michigan,29.5,35.4,-85.4371669561,44.3506813109
164,04,1950,Minnesota,25.5,33.3,-94.3090126515,46.3163329315
165,04,1950,Mississippi,56.6,59.6,-89.6652136847,32.750866634
166,04,1950,Missouri,45.0,49.0,-92.4774101578,38.3676131565
167,04,1950,Montana,30.6,35.0,-109.645148622,47.0335364218
168,04,1950,Nebraska,37.0,41.8,-99.8108090713,41.5271489603
169,04,1950,Nevada,43.4,43.0,-116.65522549,39.3562373462
170,04,1950,New Hampshire,31.0,34.8,-71.5775941473,43.6856317461
171,04,1950,New Jersey,40.8,44.3,-74.6607541123,40.1844273633
172,04,1950,New Mexico,48.8,47.4,-106.108388616,34.4213707591
173,04,1950,New York,31.8,36.6,-75.5031182762,42.9403901101
174,04,1950,North Carolina,51.5,53.6,-79.3723797543,35.5415341226
175,04,1950,North Dakota,25.2,33.0,-100.469321077,47.446338517
176,04,1950,Ohio,39.2,43.8,-82.7900611953,40.291452206
177,04,1950,Oklahoma,53.0,54.4,-97.5082927121,35.5834856477
178,04,1950,Oregon,39.2,41.1,-120.555413394,43.9366481606
179,04,1950,Pennsylvania,36.6,41.3,-77.7995595623,40.8738378455
180,04,1950,Rhode Island,37.9,40.9,-71.5536120535,41.6760813901
181,04,1950,South Carolina,55.4,57.9,-80.8961396866,33.9079742468
182,04,1950,South Dakota,30.1,37.8,-100.230507516,44.4361607025
183,04,1950,Tennessee,49.6,53.0,-86.3433803654,35.8429870949
184,04,1950,Texas,60.0,60.6,-99.3506971451,31.4844643819
185,04,1950,Utah,41.6,41.4,-111.678216374,39.3237947509
186,04,1950,Vermont,29.1,33.5,-72.6626493581,44.0751958252
187,04,1950,Virginia,46.6,49.3,-78.8122544727,37.5150238913
188,04,1950,Washington,39.1,41.8,-120.446866425,47.3809688818
189,04,1950,West Virginia,42.4,46.0,-80.6137119661,38.6425987436
190,04,1950,Wisconsin,28.4,35.4,-90.0116942643,44.6380301915
191,04,1950,Wyoming,32.0,33.9,-107.551454075,42.999642032
192,05,1950,Alabama,66.4,66.7,-86.8283719359,32.7898321918
193,05,1950,Arizona,61.8,60.8,-111.664418336,34.2931098705
194,05,1950,Arkansas,63.8,64.6,-92.4392676639,34.8997453322
195,05,1950,California,58.6,57.4,-119.610698951,37.2460706736
196,05,1950,Colorado,46.2,47.1,-105.547824721,38.9985518194
197,05,1950,Connecticut,49.2,51.4,-72.7257060428,41.6202863352
198,05,1950,Delaware,54.7,57.1,-75.4004040929,38.8870164548
199,05,1950,Florida,70.8,72.2,-81.7974638723,28.6284392647
200,05,1950,Georgia,66.4,67.0,-83.4463418309,32.6492290722
201,05,1950,Idaho,42.6,45.1,-114.659382348,44.0890895052
202,05,1950,Illinois,54.6,56.8,-89.1983967614,40.0650409125
203,05,1950,Indiana,54.0,55.9,-86.2756397346,39.9081412284
204,05,1950,Iowa,50.2,53.9,-93.5000649605,42.0746268788
205,05,1950,Kansas,57.1,58.4,-98.3802131736,38.4847081514
206,05,1950,Kentucky,58.6,59.8,-85.2904560935,37.5266674638
207,05,1950,Louisiana,69.4,69.9,-92.5856620163,31.0584069584
208,05,1950,Maine,44.5,44.4,-69.2266474552,45.3714334913
209,05,1950,Maryland,55.0,57.2,-76.7724546076,39.0369222963
210,05,1950,Massachusetts,48.6,50.2,-71.7986394244,42.2533023991
211,05,1950,Michigan,44.2,47.7,-85.4371669561,44.3506813109
212,05,1950,Minnesota,41.4,47.8,-94.3090126515,46.3163329315
213,05,1950,Mississippi,67.0,67.4,-89.6652136847,32.750866634
214,05,1950,Missouri,57.7,59.4,-92.4774101578,38.3676131565
215,05,1950,Montana,41.7,45.5,-109.645148622,47.0335364218
216,05,1950,Nebraska,49.1,53.0,-99.8108090713,41.5271489603
217,05,1950,Nevada,50.8,50.8,-116.65522549,39.3562373462
218,05,1950,New Hampshire,45.8,46.7,-71.5775941473,43.6856317461
219,05,1950,New Jersey,52.1,54.6,-74.6607541123,40.1844273633
220,05,1950,New Mexico,56.6,55.8,-106.108388616,34.4213707591
221,05,1950,New York,46.8,48.6,-75.5031182762,42.9403901101
222,05,1950,North Carolina,62.0,62.2,-79.3723797543,35.5415341226
223,05,1950,North Dakota,40.5,47.5,-100.469321077,47.446338517
224,05,1950,Ohio,52.7,54.6,-82.7900611953,40.291452206
225,05,1950,Oklahoma,63.5,63.7,-97.5082927121,35.5834856477
226,05,1950,Oregon,45.6,47.2,-120.555413394,43.9366481606
227,05,1950,Pennsylvania,50.0,52.2,-77.7995595623,40.8738378455
228,05,1950,Rhode Island,48.7,50.9,-71.5536120535,41.6760813901
229,05,1950,South Carolina,66.2,66.2,-80.8961396866,33.9079742468
230,05,1950,South Dakota,44.4,50.3,-100.230507516,44.4361607025
231,05,1950,Tennessee,61.4,61.9,-86.3433803654,35.8429870949
232,05,1950,Texas,68.9,68.6,-99.3506971451,31.4844643819
233,05,1950,Utah,49.0,50.0,-111.678216374,39.3237947509
234,05,1950,Vermont,45.0,46.0,-72.6626493581,44.0751958252
235,05,1950,Virginia,57.6,58.6,-78.8122544727,37.5150238913
236,05,1950,Washington,45.8,48.5,-120.446866425,47.3809688818
237,05,1950,West Virginia,54.7,55.7,-80.6137119661,38.6425987436
238,05,1950,Wisconsin,43.9,48.6,-90.0116942643,44.6380301915
239,05,1950,Wyoming,40.2,43.6,-107.551454075,42.999642032
240,06,1950,Alabama,75.6,74.0,-86.8283719359,32.7898321918
241,06,1950,Arizona,68.5,69.7,-111.664418336,34.2931098705
242,06,1950,Arkansas,73.0,72.5,-92.4392676639,34.8997453322
243,06,1950,California,64.0,64.5,-119.610698951,37.2460706736
244,06,1950,Colorado,55.4,56.6,-105.547824721,38.9985518194
245,06,1950,Connecticut,60.1,61.1,-72.7257060428,41.6202863352
246,06,1950,Delaware,65.0,66.4,-75.4004040929,38.8870164548
247,06,1950,Florida,78.8,77.3,-81.7974638723,28.6284392647
248,06,1950,Georgia,75.9,74.2,-83.4463418309,32.6492290722
249,06,1950,Idaho,50.6,52.9,-114.659382348,44.0890895052
250,06,1950,Illinois,66.8,66.8,-89.1983967614,40.0650409125
251,06,1950,Indiana,65.9,65.9,-86.2756397346,39.9081412284
252,06,1950,Iowa,63.4,64.5,-93.5000649605,42.0746268788
253,06,1950,Kansas,68.9,68.4,-98.3802131736,38.4847081514
254,06,1950,Kentucky,68.8,68.5,-85.2904560935,37.5266674638
255,06,1950,Louisiana,77.3,76.6,-92.5856620163,31.0584069584
256,06,1950,Maine,56.1,55.2,-69.2266474552,45.3714334913
257,06,1950,Maryland,65.6,66.5,-76.7724546076,39.0369222963
258,06,1950,Massachusetts,59.6,60.0,-71.7986394244,42.2533023991
259,06,1950,Michigan,58.2,58.4,-85.4371669561,44.3506813109
260,06,1950,Minnesota,57.1,59.0,-94.3090126515,46.3163329315
261,06,1950,Mississippi,76.0,74.8,-89.6652136847,32.750866634
262,06,1950,Missouri,68.6,68.6,-92.4774101578,38.3676131565
263,06,1950,Montana,51.2,54.3,-109.645148622,47.0335364218
264,06,1950,Nebraska,61.7,63.3,-99.8108090713,41.5271489603
265,06,1950,Nevada,58.1,59.4,-116.65522549,39.3562373462
266,06,1950,New Hampshire,57.8,57.0,-71.5775941473,43.6856317461
267,06,1950,New Jersey,62.7,64.2,-74.6607541123,40.1844273633
268,06,1950,New Mexico,64.9,64.7,-106.108388616,34.4213707591
269,06,1950,New York,58.8,59.0,-75.5031182762,42.9403901101
270,06,1950,North Carolina,70.9,70.0,-79.3723797543,35.5415341226
271,06,1950,North Dakota,55.5,58.3,-100.469321077,47.446338517
272,06,1950,Ohio,64.3,64.5,-82.7900611953,40.291452206
273,06,1950,Oklahoma,72.8,72.5,-97.5082927121,35.5834856477
274,06,1950,Oregon,52.8,53.9,-120.555413394,43.9366481606
275,06,1950,Pennsylvania,61.2,61.8,-77.7995595623,40.8738378455
276,06,1950,Rhode Island,59.0,60.3,-71.5536120535,41.6760813901
277,06,1950,South Carolina,75.4,73.7,-80.8961396866,33.9079742468
278,06,1950,South Dakota,58.6,60.8,-100.230507516,44.4361607025
279,06,1950,Tennessee,71.2,70.0,-86.3433803654,35.8429870949
280,06,1950,Texas,76.3,76.0,-99.3506971451,31.4844643819
281,06,1950,Utah,57.1,59.3,-111.678216374,39.3237947509
282,06,1950,Vermont,57.5,56.6,-72.6626493581,44.0751958252
283,06,1950,Virginia,67.1,67.0,-78.8122544727,37.5150238913
284,06,1950,Washington,53.4,54.7,-120.446866425,47.3809688818
285,06,1950,West Virginia,64.8,64.3,-80.6137119661,38.6425987436
286,06,1950,Wisconsin,58.4,59.4,-90.0116942643,44.6380301915
287,06,1950,Wyoming,49.6,53.1,-107.551454075,42.999642032
288,07,1950,Alabama,77.6,78.8,-86.8283719359,32.7898321918
289,07,1950,Arizona,75.6,77.1,-111.664418336,34.2931098705
290,07,1950,Arkansas,76.6,78.4,-92.4392676639,34.8997453322
291,07,1950,California,71.4,71.5,-119.610698951,37.2460706736
292,07,1950,Colorado,62.8,64.2,-105.547824721,38.9985518194
293,07,1950,Connecticut,67.3,68.0,-72.7257060428,41.6202863352
294,07,1950,Delaware,72.0,73.1,-75.4004040929,38.8870164548
295,07,1950,Florida,80.4,80.2,-81.7974638723,28.6284392647
296,07,1950,Georgia,78.2,78.6,-83.4463418309,32.6492290722
297,07,1950,Idaho,59.5,60.9,-114.659382348,44.0890895052
298,07,1950,Illinois,71.1,73.5,-89.1983967614,40.0650409125
299,07,1950,Indiana,70.2,72.5,-86.2756397346,39.9081412284
300,07,1950,Iowa,68.4,71.5,-93.5000649605,42.0746268788
301,07,1950,Kansas,73.7,76.1,-98.3802131736,38.4847081514
302,07,1950,Kentucky,72.0,74.4,-85.2904560935,37.5266674638
303,07,1950,Louisiana,79.6,80.8,-92.5856620163,31.0584069584
304,07,1950,Maine,62.5,62.6,-69.2266474552,45.3714334913
305,07,1950,Maryland,71.6,72.9,-76.7724546076,39.0369222963
306,07,1950,Massachusetts,67.0,67.0,-71.7986394244,42.2533023991
307,07,1950,Michigan,64.1,65.7,-85.4371669561,44.3506813109
308,07,1950,Minnesota,64.7,66.3,-94.3090126515,46.3163329315
309,07,1950,Mississippi,78.3,79.6,-89.6652136847,32.750866634
310,07,1950,Missouri,72.1,75.3,-92.4774101578,38.3676131565
311,07,1950,Montana,59.2,62.0,-109.645148622,47.0335364218
312,07,1950,Nebraska,68.6,71.5,-99.8108090713,41.5271489603
313,07,1950,Nevada,67.4,68.0,-116.65522549,39.3562373462
314,07,1950,New Hampshire,64.6,64.1,-71.5775941473,43.6856317461
315,07,1950,New Jersey,69.8,71.0,-74.6607541123,40.1844273633
316,07,1950,New Mexico,70.4,70.9,-106.108388616,34.4213707591
317,07,1950,New York,64.8,65.8,-75.5031182762,42.9403901101
318,07,1950,North Carolina,74.6,75.2,-79.3723797543,35.5415341226
319,07,1950,North Dakota,64.0,66.0,-100.469321077,47.446338517
320,07,1950,Ohio,68.8,70.9,-82.7900611953,40.291452206
321,07,1950,Oklahoma,76.7,79.3,-97.5082927121,35.5834856477
322,07,1950,Oregon,60.8,61.0,-120.555413394,43.9366481606
323,07,1950,Pennsylvania,66.4,68.2,-77.7995595623,40.8738378455
324,07,1950,Rhode Island,67.2,67.5,-71.5536120535,41.6760813901
325,07,1950,South Carolina,78.2,78.4,-80.8961396866,33.9079742468
326,07,1950,South Dakota,66.6,69.2,-100.230507516,44.4361607025
327,07,1950,Tennessee,73.8,75.5,-86.3433803654,35.8429870949
328,07,1950,Texas,79.8,80.9,-99.3506971451,31.4844643819
329,07,1950,Utah,66.0,67.8,-111.678216374,39.3237947509
330,07,1950,Vermont,63.7,63.5,-72.6626493581,44.0751958252
331,07,1950,Virginia,71.7,72.8,-78.8122544727,37.5150238913
332,07,1950,Washington,60.8,60.9,-120.446866425,47.3809688818
333,07,1950,West Virginia,68.6,70.0,-80.6137119661,38.6425987436
334,07,1950,Wisconsin,64.6,66.6,-90.0116942643,44.6380301915
335,07,1950,Wyoming,58.5,61.4,-107.551454075,42.999642032
336,08,1950,Alabama,77.3,79.6,-86.8283719359,32.7898321918
337,08,1950,Arizona,77.4,78.8,-111.664418336,34.2931098705
338,08,1950,Arkansas,76.2,79.8,-92.4392676639,34.8997453322
339,08,1950,California,75.1,74.2,-119.610698951,37.2460706736
340,08,1950,Colorado,63.4,66.2,-105.547824721,38.9985518194
341,08,1950,Connecticut,68.6,69.6,-72.7257060428,41.6202863352
342,08,1950,Delaware,73.2,74.6,-75.4004040929,38.8870164548
343,08,1950,Florida,80.2,81.0,-81.7974638723,28.6284392647
344,08,1950,Georgia,77.6,79.3,-83.4463418309,32.6492290722
345,08,1950,Idaho,63.4,64.3,-114.659382348,44.0890895052
346,08,1950,Illinois,70.6,74.5,-89.1983967614,40.0650409125
347,08,1950,Indiana,70.5,73.4,-86.2756397346,39.9081412284
348,08,1950,Iowa,67.9,72.6,-93.5000649605,42.0746268788
349,08,1950,Kansas,72.2,78.1,-98.3802131736,38.4847081514
350,08,1950,Kentucky,71.9,75.5,-85.2904560935,37.5266674638
351,08,1950,Louisiana,80.3,81.7,-92.5856620163,31.0584069584
352,08,1950,Maine,63.5,64.2,-69.2266474552,45.3714334913
353,08,1950,Maryland,72.6,74.2,-76.7724546076,39.0369222963
354,08,1950,Massachusetts,68.0,68.6,-71.7986394244,42.2533023991
355,08,1950,Michigan,63.8,67.0,-85.4371669561,44.3506813109
356,08,1950,Minnesota,64.2,67.5,-94.3090126515,46.3163329315
357,08,1950,Mississippi,78.2,80.5,-89.6652136847,32.750866634
358,08,1950,Missouri,71.2,76.8,-92.4774101578,38.3676131565
359,08,1950,Montana,62.0,64.8,-109.645148622,47.0335364218
360,08,1950,Nebraska,68.6,73.4,-99.8108090713,41.5271489603
361,08,1950,Nevada,71.0,71.1,-116.65522549,39.3562373462
362,08,1950,New Hampshire,65.2,65.3,-71.5775941473,43.6856317461
363,08,1950,New Jersey,71.1,72.5,-74.6607541123,40.1844273633
364,08,1950,New Mexico,70.2,71.8,-106.108388616,34.4213707591
365,08,1950,New York,66.1,67.1,-75.5031182762,42.9403901101
366,08,1950,North Carolina,74.7,76.3,-79.3723797543,35.5415341226
367,08,1950,North Dakota,64.7,68.0,-100.469321077,47.446338517
368,08,1950,Ohio,69.4,72.0,-82.7900611953,40.291452206
369,08,1950,Oklahoma,76.1,81.3,-97.5082927121,35.5834856477
370,08,1950,Oregon,65.1,64.3,-120.555413394,43.9366481606
371,08,1950,Pennsylvania,67.6,69.4,-77.7995595623,40.8738378455
372,08,1950,Rhode Island,68.9,69.5,-71.5536120535,41.6760813901
373,08,1950,South Carolina,77.6,79.3,-80.8961396866,33.9079742468
374,08,1950,South Dakota,67.3,71.5,-100.230507516,44.4361607025
375,08,1950,Tennessee,73.1,76.5,-86.3433803654,35.8429870949
376,08,1950,Texas,80.4,82.1,-99.3506971451,31.4844643819
377,08,1950,Utah,68.8,70.5,-111.678216374,39.3237947509
378,08,1950,Vermont,63.9,64.6,-72.6626493581,44.0751958252
379,08,1950,Virginia,72.2,73.9,-78.8122544727,37.5150238913
380,08,1950,Washington,64.2,63.7,-120.446866425,47.3809688818
381,08,1950,West Virginia,69.2,71.1,-80.6137119661,38.6425987436
382,08,1950,Wisconsin,63.6,67.6,-90.0116942643,44.6380301915
383,08,1950,Wyoming,61.0,64.4,-107.551454075,42.999642032
384,09,1950,Alabama,74.6,77.0,-86.8283719359,32.7898321918
385,09,1950,Arizona,73.2,74.9,-111.664418336,34.2931098705
386,09,1950,Arkansas,72.6,76.0,-92.4392676639,34.8997453322
387,09,1950,California,71.0,71.1,-119.610698951,37.2460706736
388,09,1950,Colorado,59.2,61.3,-105.547824721,38.9985518194
389,09,1950,Connecticut,63.0,65.0,-72.7257060428,41.6202863352
390,09,1950,Delaware,68.4,70.6,-75.4004040929,38.8870164548
391,09,1950,Florida,79.4,80.1,-81.7974638723,28.6284392647
392,09,1950,Georgia,74.9,76.8,-83.4463418309,32.6492290722
393,09,1950,Idaho,59.0,59.2,-114.659382348,44.0890895052
394,09,1950,Illinois,66.8,69.8,-89.1983967614,40.0650409125
395,09,1950,Indiana,66.7,69.0,-86.2756397346,39.9081412284
396,09,1950,Iowa,64.4,67.2,-93.5000649605,42.0746268788
